FlareClass,Flare Date,AR,TOTUSJH,TOTBSQ,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,AREA_ACR,TOTFZ,MEANPOT,R_VALUE,EPSZ,SHRGT45
C14,4/19/2012 0:10,11460,1154.39,18023000000,2.80E+23,2.58743E+13,151.611,6.68258E+12,1.30E+22,538.576,-697.25,9479.02,4.042,-0.0734,51.49
C24,4/21/2012 0:10,11460,1715.02,29866000000,5.61E+23,4.06962E+13,55.978,1.95122E+12,2.11E+22,843.039,-1278.4,11582.1,4.303,-0.0812,56.29
C20,4/23/2012 0:10,11461,358.217,6009300000,1.68E+22,9.93676E+12,48.507,2.81597E+12,4.41E+21,452.45,85.247,1402.65,2.719,0.0269,10.464
C59,4/18/2012 0:10,11463,194.342,7937600000,1.27E+22,5.80967E+12,11.23,1.30448E+12,2.82E+21,164.137,70.343,1559.13,3.214,0.0168,16.474
C29,4/19/2012 0:10,11463,915.275,16958000000,1.23E+23,1.96098E+13,331.986,1.68186E+13,9.50E+21,334.485,-1412.8,5553.43,4.082,-0.158,29.214
C14,4/20/2012 0:10,11465,253.756,5681400000,3.03E+22,5.10057E+12,56.111,1.63415E+12,3.43E+21,91.4667,-531.19,4387.94,3.55,-0.1773,24.36
C24,4/22/2012 0:10,11465,1260.15,22420000000,3.97E+23,2.82788E+13,19.381,7.0265E+12,1.48E+22,575.3,-837.03,12251.6,4.413,-0.0708,52.75
C24,4/27/2012 0:10,11465,1094.05,15605000000,2.52E+23,2.44553E+13,412.788,1.95403E+13,1.47E+22,543.877,-1310,7055.95,4.016,-0.1592,36.68
C20,4/27/2012 0:10,11467,532.13,8285100000,5.85E+22,1.10198E+13,112.787,4.98756E+12,8.33E+21,264.399,-1397.2,3235.29,3.779,-0.3199,10.959
C11,4/28/2012 0:10,11467,429.988,6009600000,3.45E+22,9.90345E+12,106.824,4.08638E+12,5.84E+21,274.06,-700.12,2512.23,3.557,-0.221,15.092
C10,4/27/2012 0:10,11469,709.246,15897000000,5.07E+22,1.75139E+13,7.603,1.46475E+12,1.30E+22,445.587,-824.99,1645.96,2.777,-0.0984,5.885
C17,4/28/2012 0:10,11469,1035.04,17729000000,1.33E+23,2.35091E+13,217.822,6.4231E+12,1.20E+22,598.752,132.07,4555.96,4.11,0.0141,24.323
C11,4/29/2012 0:10,11469,685.205,14302000000,9.09E+22,1.70691E+13,63.429,2.77446E+12,8.63E+21,644.6,527.48,4323.6,3.309,0.07,25.1
C19,5/2/2012 0:10,11469,1518.36,21131000000,1.63E+23,3.61241E+13,31.671,3.33997E+12,1.93E+22,934.306,-2254.6,3431.94,3.672,-0.2024,23.164
C23,5/3/2012 0:10,11469,1845.46,26626000000,2.11E+23,4.07147E+13,185.894,3.0388E+12,2.62E+22,909.074,-3972.3,3383.1,4.095,-0.283,17.793
C13,5/4/2012 0:10,11469,1730.53,30714000000,2.09E+23,3.88998E+13,113.989,2.43628E+12,3.31E+22,808.584,-6102.8,2696.23,3.833,-0.3769,12.61
C10,5/19/2012 0:10,11479,1861.91,30543000000,5.07E+23,4.25721E+13,119.466,6.04192E+12,2.32E+22,1065.54,-1331.7,9507.35,4.002,-0.0827,46.43
C18,5/14/2012 0:10,11483,584.788,18910000000,4.11E+22,1.41482E+13,38.993,1.80433E+12,1.34E+22,310.25,-3972.5,1320.05,3.096,-0.3985,3.01
C18,5/16/2012 0:10,11484,1065.59,17490000000,1.43E+23,2.16306E+13,4.62,1.46363E+12,1.75E+22,484.234,-3249.5,4038.04,4.009,-0.3524,18.087
C12,5/23/2012 0:10,11484,1691.18,25882000000,3.40E+23,4.07556E+13,195.509,7.92223E+12,2.81E+22,928.227,-3788.3,5174.92,4.231,-0.2776,27.563
C39,5/24/2012 0:10,11488,561.832,9014300000,4.19E+22,1.37237E+13,10.409,1.00375E+12,9.77E+21,344.952,-1498.9,1787.85,2.584,-0.3154,7.868
C31,5/27/2012 0:10,11492,1265.02,23963000000,2.78E+23,2.50886E+13,10.844,3.29862E+12,2.24E+22,603.67,-3976.9,6189.18,4.212,-0.3148,25.131
C10,6/12/2012 0:10,11506,1417.47,22816000000,2.12E+23,3.38761E+13,61.873,4.80225E+12,2.46E+22,763.761,-3966.1,3797.83,4.238,-0.3297,15.429
