Flare Class,TOTUSJH,TOTBSQ,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,AREA_ACR,TOTFZ,MEANPOT,R_VALUE,EPSZ,SHRGT45
C,301.811,3612800000,2.49962e+22,5924310000000,6.859,772015000000,2.18987e+21,121.433,36.867,4554.03,3.544,0.0194,37.769
C,982.575,16326000000,2.20702e+23,17986100000000,95.555,4795810000000,1.21947e+22,405.336,-1872.8,9862.06,4.277,-0.2176,38.615
C,576.536,10096000000,4.38991e+22,11953000000000,51.966,2008250000000,1.05993e+22,289.232,-2230.3,2051.48,3.448,-0.419,2.836
C,1614.43,43132000000,2.58613e+23,35494800000000,473.982,22049500000000,2.56358e+22,705.792,-4906.5,4390.02,4.037,-0.2158,17.889
C,1689.81,22889000000,1.79021e+23,32089800000000,77.232,1172840000000,2.05374e+22,969.815,-3416.5,4425.5,4.107,-0.2831,17.324
C,2604.99,41274000000,7.11324e+23,55895800000000,148.736,8981270000000,2.79981e+22,1474.62,-1625.0,11099.3,4.441,-0.0747,52.9
C,2339.43,29788000000,2.83211e+23,49731000000000,300.017,13320700000000,2.9471e+22,1668.11,-3971.3,4379.47,4.262,-0.2529,21.06
C,483.762,5417700000,4.60606e+22,10773900000000,57.591,2119130000000,4.18261e+21,288.849,-454.13,4323.49,3.113,-0.159,37.123
C,1359.41,26760000000,3.32058e+23,29583400000000,169.774,9216850000000,1.65926e+22,1192.91,-884.72,8692.95,3.498,-0.0627,37.298
C,232.175,3496000000,1.96694e+22,4789290000000,12.009,414192000000,2.40179e+21,137.962,33.001,3315.59,1.964,0.0179,30.625
C,1680.57,34408000000,4.21956e+23,34679400000000,40.321,8698580000000,2.52135e+22,991.762,-3402.0,8269.63,3.878,-0.1876,29.583
C,1069.14,30173000000,1.60048e+23,20807900000000,16.863,2933100000000,2.02138e+22,518.653,-6947.3,4100.93,3.68,-0.4367,16.688
C,831.543,23917000000,1.5303e+23,15948100000000,4.35,1279080000000,1.93571e+22,391.638,-4872.2,3732.0,3.77,-0.3864,14.552
C,1096.24,17887000000,3.30119e+23,21496800000000,101.48,2419750000000,1.06823e+22,418.522,-418.42,15276.2,4.064,-0.0444,58.333
C,1867.94,47860000000,3.02957e+23,38001500000000,149.722,8084760000000,4.13295e+22,711.038,-11104.0,3461.65,3.885,-0.4401,15.98
C,120.615,7384700000,6.47728e+21,2170900000000,23.575,1172040000000,1.71223e+21,33.5168,-1516.9,2118.72,1.954,-0.3896,6.386
C,1058.63,23860000000,3.43967e+23,22468300000000,170.393,1985680000000,1.76943e+22,745.308,-2260.6,9256.72,3.315,-0.1797,34.149
C,1226.13,12980000000,1.17031e+23,30523800000000,42.508,4874560000000,1.49318e+22,796.695,-1771.6,2892.03,3.78,-0.2589,26.13
C,494.455,7242800000,4.15978e+22,12208100000000,29.167,109878000000,8.52217e+21,249.88,-1409.3,2041.49,3.591,-0.3691,9.985
C,2017.55,26218000000,2.68121e+23,47582100000000,466.913,18495500000000,2.50606e+22,1263.95,-2192.9,4620.79,4.147,-0.1587,20.491
C,761.056,21473000000,3.34025e+23,18874000000000,68.43,2950600000000,1.17376e+22,539.363,286.76,12328.0,3.282,0.0253,46.069
C,1161.6,15245000000,2.15877e+23,21615500000000,327.192,16987000000000,1.17051e+22,409.596,-1585.8,10067.1,4.42,-0.1973,36.323
C,2180.73,41638000000,4.63905e+23,48915200000000,19.345,3990550000000,3.88602e+22,1077.73,-6009.5,5379.37,4.385,-0.2738,23.68
C,181.387,2590000000,1.37545e+22,4341850000000,29.055,1427030000000,1.72021e+21,105.721,113.24,3007.24,2.946,0.0829,23.693
